UUID,Automotive,Ent,Finance,Games,Health,Hobbies,Life,News,Parent,Property,Sports,Tech,Travel,Women
uuid_00223,0.00148588,0.00742942,0,0,0.01783061,0,0.85289747,0.04903418,0.0089153,0.0564636,0,0,0,0.00594354
uuid_00224,0.00505051,0.00505051,0.1010101,0.00505051,0,0,0.02020202,0.06565657,0,0.01515152,0.77777778,0,0,0.00505051
uuid_00225,0.00546448,0.07377049,0.55737705,0,0.00546448,0.04371585,0.05191257,0.04918033,0,0.07103825,0.06284153,0.03551913,0,0.04371585
uuid_00226,0,0.00904159,0.74683544,0,0,0.00090416,0.00180832,0.01627486,0,0,0.00271248,0.22151899,0.00090416,0
uuid_00227,0,0.00205761,0.48216735,0,0,0,0.00274348,0.00205761,0,0,0.51097394,0,0,0
uuid_00228,0.67626886,0.08367627,0.22633745,0,0,0,0,0.00137174,0,0.00685871,0,0,0.00548697,0
uuid_00229,0,0.99503008,0,0,0,0,0,0.00496992,0,0,0,0,0,0
uuid_00230,0,0.87248322,0,0.00134228,0,0.07248322,0.01342282,0,0,0,0,0.04026846,0,0
uuid_00231,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uuid_00232,0,0.00609756,0,0.01219512,0,0.97560976,0,0,0,0,0,0,0,0.00609756
uuid_00233,0,0.23537147,0,0.00197239,0,0,0.73504274,0,0,0,0,0.00328731,0.01840894,0.00591716
uuid_00234,0,0.49682875,0.01057082,0.00211416,0,0,0.01268499,0.00422833,0.10147992,0,0,0,0.34038055,0.03171247
uuid_00235,0.06191744,0.01464714,0.2023968,0,0.08388815,0.01398136,0.00066578,0.12450067,0.05925433,0,0,0.27962716,0.08055925,0.07856192
uuid_00236,0.01805054,0.10469314,0.00361011,0.03610108,0,0,0,0.04693141,0,0.00361011,0.60288809,0.16606498,0.00361011,0.01444043
uuid_00237,0.02898551,0,0.04830918,0.4589372,0.0531401,0,0.01932367,0.10144928,0.05797101,0,0.05797101,0.07246377,0.04830918,0.0531401
