UUID,Automotive,Ent,Finance,Games,Health,Hobbies,Life,News,Parent,Property,Sports,Tech,Travel,Women,group_id
uuid_00256,0,1809,0,0,0,1,0,4,1,0,64,0,0,0,1
uuid_00257,0,36,0,0,0,0,95,24,0,0,0,13,1,0,5
uuid_00258,0,803,4,0,0,1,2,3,0,0,0,561,21,2,1
uuid_00259,7,61,29,0,4,0,13,44,9,2,114,14,8,7,3
uuid_00260,1,939,195,0,0,55,10,1,0,1,1,5,1,6,1
uuid_00261,0,64,0,1,0,5,1,4,18,0,49,235,20,2,2
uuid_00262,64,5,1,0,1,0,7,5,0,24,6,1213,0,12,2
uuid_00263,1,7,3,1,1,81,4,32,3,0,0,0,1,0,7
uuid_00264,0,28,0,0,0,0,0,4,2,0,15,319,0,0,2
uuid_00265,0,165,2,0,0,0,1,1,1,0,0,1,1,1,1
uuid_00266,1,5,2,57,0,355,0,8,0,0,0,0,1,0,7
uuid_00267,0,0,0,0,0,0,0,385,0,0,0,0,0,0,9
uuid_00268,0,19,0,57,0,3,362,0,0,2,0,3616,7,3,2
uuid_00269,11,177,0,150,1,81,7,6,0,0,3,198,0,8,3
uuid_00270,0,0,2740,0,0,0,0,0,2,0,0,0,0,0,4
uuid_00271,154,62,1,0,0,37,2833,13,47,0,4,4,11,1,5
uuid_00272,36,109,31,19,0,52,0,34,2,4,30,39,0,10,3
uuid_00273,0,2,0,1124,0,0,2,2,0,0,0,7,0,4,0
uuid_00274,1,14,1,103,0,0,0,81,2,0,379,0,0,0,6
uuid_00275,7,1,1,0,2,0,0,2,0,0,0,0,1,3,10
uuid_00276,0,6,0,3,0,166,0,3,0,0,12,106,2,0,7
uuid_00277,0,22,2,36,0,4,0,7,0,0,146,0,0,1,6
uuid_00278,0,15,1,221,0,0,0,9,2,0,0,4,0,1,0
uuid_00279,0,140,0,1,0,14,62,3,0,0,53,12,4,4,3
uuid_00280,15,368,4,2,0,0,6,3,28,5,0,2,0,0,1
uuid_00281,0,2,0,410,0,0,0,1,0,0,0,5,0,0,0
uuid_00282,0,26,0,530,0,0,1,4,24,0,0,1,0,18,0
